年 月 日 时 气温 露点温度 海平面压力 风向 风速 天气条件覆盖代码 液体沉淀深度(一小时) 液体沉淀深度(六小时)
2020 01 10 09   162   116 10169   161    13     8 -9999 -9999
2020 01 10 10   150   110 -9999    40    30 -9999 -9999 -9999
2020 01 10 11   150   120 -9999    60    30 -9999 -9999 -9999
2020 01 10 12   154   122 10171   150    20     8 -9999     0
2020 01 10 13   150   120 -9999    30    30 -9999 -9999 -9999
2020 01 10 14   150   120 -9999    10    20 -9999 -9999 -9999
2020 01 10 15   150   123 10176   158    17 -9999 -9999 -9999
2020 01 10 16   150   120 -9999 -9999    10 -9999 -9999 -9999
2020 01 10 17   150   120 -9999     0     0 -9999 -9999 -9999
2020 01 10 18   150   123 10166   360    10 -9999 -9999     0
2020 01 10 19   150   120 -9999   210    10 -9999 -9999 -9999
2020 01 10 20   150   130 -9999   220    10 -9999 -9999 -9999
2020 01 10 21   150   125 10160   360     1 -9999 -9999 -9999
2020 01 10 22   150   130 -9999     0     0 -9999 -9999 -9999
2020 01 10 23   140   120 -9999     0     0 -9999 -9999 -9999
2020 01 11 00   154   129 10172   170    10     8 -9999     0
2020 01 11 01   160   130 -9999 -9999    10 -9999 -9999 -9999
2020 01 11 02   170   130 -9999 -9999    10 -9999 -9999 -9999
2020 01 11 03   175   126 10180   330    12     7 -9999 -9999
2020 01 11 04   170   140 -9999    70    40 -9999 -9999 -9999
2020 01 11 05   160   130 -9999    80    50 -9999 -9999 -9999
2020 01 11 06   188   125 10152   330    10     8 -9999     0
2020 01 11 07   150   130 -9999    60    60 -9999 -9999 -9999
2020 01 11 08   150   130 -9999    50    60 -9999 -9999 -9999
2020 01 11 09   161   130 10160   155    35     6 -9999 -9999
2020 01 11 10   150   120 -9999    60    50 -9999 -9999 -9999
2020 01 11 11   150   120 -9999    40    40 -9999 -9999 -9999
2020 01 11 14   130   120 -9999    40    60 -9999 -9999 -9999
2020 01 11 15   141    91 10184   308    55 -9999 -9999 -9999
2020 01 11 17   130   110 -9999    40    60 -9999 -9999 -9999
2020 01 11 18   111    97 10194   330    20 -9999 -9999     3
2020 01 11 19   120   110 -9999    30    40 -9999 -9999 -9999
2020 01 11 20   130   110 -9999    30    40 -9999 -9999 -9999
2020 01 11 21   112    64 10195   312    34 -9999 -9999     3
2020 01 11 22   120   110 -9999    20    30 -9999 -9999 -9999
2020 01 11 23   120   100 -9999    30    40 -9999 -9999 -9999
2020 01 12 00   102    71 10218   300    40     8 -9999 -9999
2020 01 12 01   130    80 -9999    40    60 -9999 -9999 -9999
2020 01 12 02   130    80 -9999    30    60 -9999 -9999 -9999
2020 01 12 03   117    66 10224   297    10     8 -9999 -9999
2020 01 12 04   130    70 -9999    40    70 -9999 -9999 -9999
2020 01 12 05   130    60 -9999    50    60 -9999 -9999 -9999
2020 01 12 06   127    88 10194   150    30     8 -9999     0
2020 01 12 07   130    60 -9999    60    60 -9999 -9999 -9999
2020 01 12 08   130    70 -9999    50    60 -9999 -9999 -9999
2020 01 12 09   120    66 10198    79    19     8 -9999 -9999
2020 01 12 10   130    60 -9999    60    50 -9999 -9999 -9999
2020 01 12 11   130    60 -9999    50    70 -9999 -9999 -9999
2020 01 12 12   112    59 10217    90    20     7 -9999     0
2020 01 12 13   120    60 -9999    40    70 -9999 -9999 -9999
2020 01 12 14   120    60 -9999    50    70 -9999 -9999 -9999
2020 01 12 15   110    51 10227    86    25 -9999 -9999 -9999
2020 01 12 16   120    50 -9999    40    80 -9999 -9999 -9999
2020 01 12 17   110    50 -9999    30    70 -9999 -9999 -9999
2020 01 12 18   101    27 10225    80    20 -9999 -9999     0
2020 01 12 19   110    40 -9999    20    60 -9999 -9999 -9999
2020 01 12 20   110    40 -9999    20    60 -9999 -9999 -9999
2020 01 12 21    97    22 10222   333    18 -9999 -9999 -9999
2020 01 12 22   110    40 -9999    10    40 -9999 -9999 -9999
2020 01 12 23   110    50 -9999    10    30 -9999 -9999 -9999
2020 01 13 00   102    18 10233   350    20     7 -9999     0
2020 01 13 01   120    40 -9999    10    30 -9999 -9999 -9999
2020 01 13 02   120    40 -9999   350    30 -9999 -9999 -9999
2020 01 13 03   127    21 10231     1     8     7 -9999 -9999
2020 01 13 04   140    50 -9999    50    50 -9999 -9999 -9999
2020 01 13 05   130    40 -9999    40    50 -9999 -9999 -9999
2020 01 13 06   157    50 10200   150    30     6 -9999     0
2020 01 13 07   140    50 -9999    40    40 -9999 -9999 -9999
2020 01 13 08   130    60 -9999    40    50 -9999 -9999 -9999
2020 01 13 09   137    64 10196   155    31     1 -9999 -9999
2020 01 13 10   120    60 -9999    30    60     0 -9999 -9999
2020 01 13 11   110    70 -9999    30    60 -9999 -9999 -9999
2020 01 13 12   111    56 10213    70    10     2 -9999     0
2020 01 13 13   120    70 -9999    30    60 -9999 -9999 -9999
2020 01 13 14   120    70 -9999    20    50 -9999 -9999 -9999
2020 01 13 15   105    61 10226   287    13 -9999 -9999 -9999
2020 01 13 16   110    70 -9999 -9999    10 -9999 -9999 -9999
2020 01 13 17   110    70 -9999   320    20 -9999 -9999 -9999
2020 01 13 18    94    63 10225   190    20 -9999 -9999     0
2020 01 13 19   110    60 -9999 -9999    10 -9999 -9999 -9999
2020 01 13 20   100    70 -9999   290    20     0 -9999 -9999
2020 01 13 23    90    60 -9999 -9999    10     0 -9999 -9999
2020 01 14 00    93    69 10239   290    10     1 -9999     0
2020 01 14 01   130    80 -9999 -9999    10 -9999 -9999 -9999
2020 01 14 02   150    80 -9999    60    50 -9999 -9999 -9999
2020 01 14 03   147    70 10238   254    17     0 -9999 -9999
2020 01 14 04   170    90 -9999    40    50 -9999 -9999 -9999
2020 01 14 05   170    90 -9999    70    50 -9999 -9999 -9999
2020 01 14 06   191    87 10206   170    30     1 -9999     0
2020 01 14 07   150   100 -9999    60    70 -9999 -9999 -9999
2020 01 14 08   150   100 -9999    40    70 -9999 -9999 -9999
2020 01 14 09   145    89 10221    64    18     5 -9999 -9999
2020 01 14 10   140   100 -9999    40    80 -9999 -9999 -9999
2020 01 14 11   140    90 -9999    40    90 -9999 -9999 -9999
2020 01 14 12   126    81 10248    70    40     8 -9999     0
2020 01 14 13   140    90 -9999    40    90 -9999 -9999 -9999
2020 01 14 14   130    90 -9999    40    90 -9999 -9999 -9999
2020 01 14 15   120    72 10250    48    30 -9999 -9999 -9999
2020 01 14 16   130    80 -9999    40    90 -9999 -9999 -9999
2020 01 14 17   130    80 -9999    30    90 -9999 -9999 -9999
2020 01 14 18   114    59 10244    70    30 -9999 -9999     0
2020 01 14 19   120    70 -9999    30    80 -9999 -9999 -9999
2020 01 14 20   120    70 -9999    30    80 -9999 -9999 -9999
2020 01 14 21   111    54 10237    38    25 -9999 -9999 -9999
2020 01 14 22   120    70 -9999    20    80 -9999 -9999 -9999
2020 01 14 23   120    70 -9999    20    80 -9999 -9999 -9999
2020 01 15 00   110    51 10254    60    30     8 -9999     0
2020 01 15 01   120    60 -9999    20    70 -9999 -9999 -9999
2020 01 15 02   120    60 -9999    20    70 -9999 -9999 -9999
2020 01 15 03   112    57 10253     4    37     8 -9999 -9999
2020 01 15 04   120    70 -9999   360    30 -9999 -9999 -9999
2020 01 15 05   130    70 -9999   360    30 -9999 -9999 -9999
2020 01 15 06   119    66 10225   350    10 -9999 -9999     0
2020 01 15 07   130    70 -9999    30    50 -9999 -9999 -9999
2020 01 15 08   130    70 -9999    40    60 -9999 -9999 -9999
2020 01 15 09   120    74 10221    71    20     8 -9999 -9999
2020 01 15 10   120    80 -9999    30    50 -9999 -9999 -9999
2020 01 15 11   120    80 -9999    30    40 -9999 -9999 -9999
2020 01 15 12   116    77 10228    70    20 -9999 -9999     0
2020 01 15 13   120    90 -9999   360    20 -9999 -9999 -9999
2020 01 15 14   120    90 -9999   350    20 -9999 -9999 -9999
2020 01 15 15   116    85 10227    50     8 -9999 -9999 -9999
2020 01 15 16   120    90 -9999   340    20 -9999 -9999 -9999
2020 01 15 17   120    90 -9999   320    20 -9999 -9999 -9999
2020 01 15 18   115    89 10221   350    10 -9999 -9999     0
2020 01 15 19   120    90 -9999 -9999    20 -9999 -9999 -9999
2020 01 15 20   120    90 -9999   350    20 -9999 -9999 -9999
2020 01 15 21   116    90 10206   360     1 -9999 -9999 -9999
2020 01 15 22   120   100 -9999 -9999    10 -9999 -9999 -9999
2020 01 15 23   120   100 -9999   310    10 -9999 -9999 -9999
2020 01 16 00   122    98 10215   310    10     7 -9999     0
2020 01 16 01   140   110 -9999   270    20 -9999 -9999 -9999
2020 01 16 02   150   110 -9999 -9999    10 -9999 -9999 -9999
2020 01 16 03   152    99 10206   334    12     7 -9999 -9999
